Instance,Our_Vehicles,BKS_Vehicles,Vehicle_Gap(%),Our_Distance,BKS_Distance,Distance_Gap(%),Time(s)
LRC1_8_1.sol,78,66.0,18.181818181818183,35230.75,32252.28,9.234913004599989,2835.03
LRC1_8_10.sol,56,39.0,43.58974358974359,27861.41,24622.59,13.153855869752125,3070.44
LRC1_8_2.sol,69,56.0,23.214285714285715,31654.21,27878.89,13.541859091233546,2869.96
LRC1_8_3.sol,60,48.0,25.0,27825.44,24371.95,14.169937161367876,2968.34
LRC1_8_4.sol,43,34.0,26.47058823529412,22002.19,18208.51,20.834653686655308,3366.71
LRC1_8_5.sol,76,58.0,31.03448275862069,35004.76,31169.16,12.305753507633836,2846.11
LRC1_8_6.sol,71,54.0,31.48148148148148,32754.82,28961.66,13.097177440795866,2896.04
LRC1_8_7.sol,64,50.0,28.000000000000004,30973.95,28768.4,7.6665716550103555,2894.14
LRC1_8_8.sol,60,44.0,36.36363636363637,30232.92,26902.93,12.377796767861335,2902.47
LRC1_8_9.sol,58,44.0,31.818181818181817,28261.44,24854.96,13.705433442660942,3028.98
LRC2_10_1.sol,44,22.0,100.0,41187.31,34463.46,19.510084013619057,3645.4
LRC2_10_10.sol,32,11.0,190.9090909090909,33235.15,29085.28,14.267938971190937,4532.51
LRC2_10_2.sol,42,19.0,121.05263157894736,41186.7,38619.13,6.648440811587418,3553.28
LRC2_10_3.sol,33,16.0,106.25,32985.52,27218.08,21.189738585528424,4866.11
LRC2_10_4.sol,23,11.0,109.09090909090908,34291.17,23212.46,47.72742742475377,8267.96
LRC2_10_5.sol,40,16.0,150.0,39854.99,40638.13,-1.9271063899839864,3766.35
LRC2_10_6.sol,37,17.0,117.64705882352942,37746.62,30910.65,22.115258009779804,3688.52
LRC2_10_7.sol,37,15.0,146.66666666666666,37252.64,33275.24,11.953031743722963,3947.23
LRC2_2_1.sol,10,6.0,66.66666666666666,3128.92,3595.18,-12.969030757848,2705.65
LRC2_2_10.sol,6,3.0,100.0,2300.14,2437.88,-5.649990975765839,2712.04
LRC2_2_2.sol,7,5.0,40.0,2811.85,3158.25,-10.968099422148343,2707.52
LRC2_2_3.sol,7,4.0,75.0,2748.12,2881.99,-4.645054285406955,2712.85
LRC2_2_4.sol,5,3.0,66.66666666666666,2814.9,2835.4,-0.7230020455667631,2731.6
LRC2_2_5.sol,7,5.0,40.0,3171.66,2776.93,14.214618301505622,2708.38
LRC2_2_6.sol,7,5.0,40.0,2897.94,2707.96,7.015613229146664,2708.96
LRC2_2_7.sol,7,4.0,75.0,2670.11,3010.68,-11.31206239122058,2711.39
LRC2_2_8.sol,6,4.0,50.0,2532.22,2399.89,5.514002725124898,2714.08
LRC2_2_9.sol,6,4.0,50.0,2435.21,2208.49,10.26583774434117,2712.24
LRC2_4_1.sol,19,11.0,72.72727272727273,7691.56,9738.95,-21.02269751872636,2754.73
LRC2_4_10.sol,12,6.0,100.0,6178.22,5395.71,14.502447314625885,2840.68
LRC2_4_2.sol,18,10.0,80.0,7395.39,7159.95,3.288291119351399,2769.38
LRC2_4_3.sol,15,8.0,87.5,6579.92,6426.47,2.3877805389272777,2800.01
LRC2_4_4.sol,10,5.0,100.0,5549.01,5238.77,5.922000774991072,2999.69
LRC2_4_5.sol,14,10.0,40.0,6746.3,7309.54,-7.705546450255417,2770.36
LRC2_4_6.sol,16,9.0,77.77777777777779,7235.07,6337.08,14.170406559487963,2782.87
LRC2_4_7.sol,13,8.0,62.5,6817.63,6292.23,8.349980849396806,2783.92
LRC2_4_8.sol,14,7.0,100.0,6360.76,5767.72,10.282052526821689,2789.74
LRC2_4_9.sol,10,6.0,66.66666666666666,5296.55,6272.92,-15.5648406164912,2822.01
LRC2_6_1.sol,26,16.0,62.5,15164.13,14578.92,4.014083347737687,2833.1
LRC2_6_10.sol,20,7.0,185.7142857142857,13746.92,13054.5,5.304071393006243,3108.02
LRC2_6_2.sol,22,13.0,69.23076923076923,13950.39,13850.22,0.7232376092220923,2962.04
LRC2_6_3.sol,20,10.0,100.0,14826.23,12432.91,19.249877944905897,3085.84
LRC2_6_4.sol,13,7.0,85.71428571428571,12963.68,9833.92,31.826169015001145,3894.05
LRC2_6_5.sol,25,13.0,92.3076923076923,14738.78,14380.37,2.4923558990484938,2912.09
LRC2_6_6.sol,23,12.0,91.66666666666666,15267.71,14962.08,2.0426972720370378,2931.98
LRC2_6_7.sol,23,10.0,130.0,14483.36,14094.26,2.760698326836601,3008.2
LRC2_6_8.sol,18,9.0,100.0,12452.45,13179.58,-5.5170953854371625,2974.88
LRC2_6_9.sol,20,8.0,150.0,15502.88,16309.78,-4.947338345458991,3012.9
LRC2_8_1.sol,37,20.0,85.0,28069.78,23074.22,21.649962598952413,3109.8
LRC2_8_10.sol,24,9.0,166.66666666666669,21227.62,19604.12,8.281422476499838,3645.3
